direccion,direccion_full,lat,lng,url_origen
Mide audiencia en +5.500 soportes,"Mide audiencia en +5.500 soportes, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/penaflor
Aeropuerto,"Aeropuerto, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/penaflor
Camión LED / Impreso,"Camión LED / Impreso, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/penaflor
Bicicleta / Scooter,"Bicicleta / Scooter, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/penaflor
Ruta 78 Autopista del Sol,"Ruta 78 Autopista del Sol, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/penaflor
"Ruta 78 29,8 / hacia Melipilla","Ruta 78 29,8 / hacia Melipilla, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/penaflor
Manuel Castillo / salida autopista del sol,"Manuel Castillo / salida autopista del sol, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/penaflor
"""Mi experiencia trabajando con el equipo OOH siempre ha sido excelente, no solo porque la calidad de su trabajo es impecable, sino también porque la calidad humana es espectacular. Un equipo cercano y preocupado que cada detalle de mi campaña, son un partner comprometido que me ayuda en cada detalle y es 100% transparente, en un mercado donde hace mucha falta"".","""Mi experiencia trabajando con el equipo OOH siempre ha sido excelente, no solo porque la calidad de su trabajo es impecable, sino también porque la calidad humana es espectacular. Un equipo cercano y preocupado que cada detalle de mi campaña, son un partner comprometido que me ayuda en cada detalle y es 100% transparente, en un mercado donde hace mucha falta""., Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/penaflor
Mide audiencia en +5.500 soportes,"Mide audiencia en +5.500 soportes, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/padre-hurtado
Aeropuerto,"Aeropuerto, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/padre-hurtado
Camión LED / Impreso,"Camión LED / Impreso, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/padre-hurtado
Bicicleta / Scooter,"Bicicleta / Scooter, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/padre-hurtado
Camino Melipilla 1715,"Camino Melipilla 1715, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/padre-hurtado
"""Mi experiencia trabajando con el equipo OOH siempre ha sido excelente, no solo porque la calidad de su trabajo es impecable, sino también porque la calidad humana es espectacular. Un equipo cercano y preocupado que cada detalle de mi campaña, son un partner comprometido que me ayuda en cada detalle y es 100% transparente, en un mercado donde hace mucha falta"".","""Mi experiencia trabajando con el equipo OOH siempre ha sido excelente, no solo porque la calidad de su trabajo es impecable, sino también porque la calidad humana es espectacular. Un equipo cercano y preocupado que cada detalle de mi campaña, son un partner comprometido que me ayuda en cada detalle y es 100% transparente, en un mercado donde hace mucha falta""., Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/padre-hurtado
Mide audiencia en +5.500 soportes,"Mide audiencia en +5.500 soportes, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/curarrehue
Aeropuerto,"Aeropuerto, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/curarrehue
Camión LED / Impreso,"Camión LED / Impreso, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/curarrehue
Bicicleta / Scooter,"Bicicleta / Scooter, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/curarrehue
Ruta Internacional Curarrehue Pucón Km 5,"Ruta Internacional Curarrehue Pucón Km 5, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/curarrehue
Ruta Internacional Curarrehue Pucón Km 20,"Ruta Internacional Curarrehue Pucón Km 20, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/curarrehue
"Frase de 30"" en horario repartido (L a D) / Ngen FM 100.3 Mhz - Curarrehue","Frase de 30"" en horario repartido (L a D) / Ngen FM 100.3 Mhz - Curarrehue, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/curarrehue
"""Mi experiencia trabajando con el equipo OOH siempre ha sido excelente, no solo porque la calidad de su trabajo es impecable, sino también porque la calidad humana es espectacular. Un equipo cercano y preocupado que cada detalle de mi campaña, son un partner comprometido que me ayuda en cada detalle y es 100% transparente, en un mercado donde hace mucha falta"".","""Mi experiencia trabajando con el equipo OOH siempre ha sido excelente, no solo porque la calidad de su trabajo es impecable, sino también porque la calidad humana es espectacular. Un equipo cercano y preocupado que cada detalle de mi campaña, son un partner comprometido que me ayuda en cada detalle y es 100% transparente, en un mercado donde hace mucha falta""., Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/curarrehue
Mide audiencia en +5.500 soportes,"Mide audiencia en +5.500 soportes, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/estacion-central
Aeropuerto,"Aeropuerto, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/estacion-central
Camión LED / Impreso,"Camión LED / Impreso, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/estacion-central
Bicicleta / Scooter,"Bicicleta / Scooter, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/estacion-central
5 de Abril / Las Rejas (P - O),"5 de Abril / Las Rejas (P - O), Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/estacion-central
EFE Estación Central (Alameda 3170),"EFE Estación Central (Alameda 3170), Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/estacion-central
Terminal Alameda / Turbus - Pantalla Digital,"Terminal Alameda / Turbus - Pantalla Digital, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/estacion-central
"""Mi experiencia trabajando con el equipo OOH siempre ha sido excelente, no solo porque la calidad de su trabajo es impecable, sino también porque la calidad humana es espectacular. Un equipo cercano y preocupado que cada detalle de mi campaña, son un partner comprometido que me ayuda en cada detalle y es 100% transparente, en un mercado donde hace mucha falta"".","""Mi experiencia trabajando con el equipo OOH siempre ha sido excelente, no solo porque la calidad de su trabajo es impecable, sino también porque la calidad humana es espectacular. Un equipo cercano y preocupado que cada detalle de mi campaña, son un partner comprometido que me ayuda en cada detalle y es 100% transparente, en un mercado donde hace mucha falta""., Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/estacion-central
Mide audiencia en +5.500 soportes,"Mide audiencia en +5.500 soportes, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/copiapo
Aeropuerto,"Aeropuerto, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/copiapo
Camión LED / Impreso,"Camión LED / Impreso, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/copiapo
Bicicleta / Scooter,"Bicicleta / Scooter, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/copiapo
Topsite - Acceso principal Mall Cara 2AB - Copiapó,"Topsite - Acceso principal Mall Cara 2AB - Copiapó, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/copiapo
Escaleras mecánicas Mall Plaza Copiapó,"Escaleras mecánicas Mall Plaza Copiapó, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/copiapo
Av. Atacama con Av. Colipi - Copiapó,"Av. Atacama con Av. Colipi - Copiapó, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/copiapo
Av. Copayapu Esquina Callejón Diego de Almagro,"Av. Copayapu Esquina Callejón Diego de Almagro, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/copiapo
Av. Copayapu (Frente al Mall Plaza Copiapó),"Av. Copayapu (Frente al Mall Plaza Copiapó), Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/copiapo
"""Mi experiencia trabajando con el equipo OOH siempre ha sido excelente, no solo porque la calidad de su trabajo es impecable, sino también porque la calidad humana es espectacular. Un equipo cercano y preocupado que cada detalle de mi campaña, son un partner comprometido que me ayuda en cada detalle y es 100% transparente, en un mercado donde hace mucha falta"".","""Mi experiencia trabajando con el equipo OOH siempre ha sido excelente, no solo porque la calidad de su trabajo es impecable, sino también porque la calidad humana es espectacular. Un equipo cercano y preocupado que cada detalle de mi campaña, son un partner comprometido que me ayuda en cada detalle y es 100% transparente, en un mercado donde hace mucha falta""., Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/copiapo
Mide audiencia en +5.500 soportes,"Mide audiencia en +5.500 soportes, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/tocopilla
Aeropuerto,"Aeropuerto, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/tocopilla
Camión LED / Impreso,"Camión LED / Impreso, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/tocopilla
Bicicleta / Scooter,"Bicicleta / Scooter, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/tocopilla
Entrada Sur Tocopilla km 175.68,"Entrada Sur Tocopilla km 175.68, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/tocopilla
"Frase de 30"" en horario repartido (L a D) / Canal 95 FM 89,3 Mhz - Tocopilla","Frase de 30"" en horario repartido (L a D) / Canal 95 FM 89,3 Mhz - Tocopilla, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/tocopilla
"Frase de 30"" en horario repartido (L a D) / Definitiva FM 90.5 Mhz - Tocopilla","Frase de 30"" en horario repartido (L a D) / Definitiva FM 90.5 Mhz - Tocopilla, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/tocopilla
"Frase de 30"" en horario repartido (L a D) / Madero FM 106.1 Mhz - Tocopilla","Frase de 30"" en horario repartido (L a D) / Madero FM 106.1 Mhz - Tocopilla, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/tocopilla
"Frase de 30"" en horario repartido (L a D) / Makarena FM 88.9 Mhz - Tocopilla","Frase de 30"" en horario repartido (L a D) / Makarena FM 88.9 Mhz - Tocopilla, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/tocopilla
"Frase de 30"" en horario repartido (L a D) / Actual 88.9 Mhz - Tocopilla","Frase de 30"" en horario repartido (L a D) / Actual 88.9 Mhz - Tocopilla, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/tocopilla
"Frase de 30"" en horario repartido (L a D) / Extasis - Tocopilla","Frase de 30"" en horario repartido (L a D) / Extasis - Tocopilla, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/tocopilla
"""Mi experiencia trabajando con el equipo OOH siempre ha sido excelente, no solo porque la calidad de su trabajo es impecable, sino también porque la calidad humana es espectacular. Un equipo cercano y preocupado que cada detalle de mi campaña, son un partner comprometido que me ayuda en cada detalle y es 100% transparente, en un mercado donde hace mucha falta"".","""Mi experiencia trabajando con el equipo OOH siempre ha sido excelente, no solo porque la calidad de su trabajo es impecable, sino también porque la calidad humana es espectacular. Un equipo cercano y preocupado que cada detalle de mi campaña, son un partner comprometido que me ayuda en cada detalle y es 100% transparente, en un mercado donde hace mucha falta""., Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/tocopilla
Mide audiencia en +5.500 soportes,"Mide audiencia en +5.500 soportes, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/tiltil
Aeropuerto,"Aeropuerto, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/tiltil
Camión LED / Impreso,"Camión LED / Impreso, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/tiltil
Bicicleta / Scooter,"Bicicleta / Scooter, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/tiltil
"Ruta 5 Norte, Sector La Trampilla","Ruta 5 Norte, Sector La Trampilla, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/tiltil
"Ruta 5 Norte Km 50,740 Sector Montenegro","Ruta 5 Norte Km 50,740 Sector Montenegro, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/tiltil
"Ruta 5 Norte km 66,62 - Sector Montenegro","Ruta 5 Norte km 66,62 - Sector Montenegro, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/tiltil
Ruta 5 Norte km 68.33 - Sector Montenegro,"Ruta 5 Norte km 68.33 - Sector Montenegro, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/tiltil
"Ruta 5 Norte Km 50, Rungue.","Ruta 5 Norte Km 50, Rungue., Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/tiltil
"""Mi experiencia trabajando con el equipo OOH siempre ha sido excelente, no solo porque la calidad de su trabajo es impecable, sino también porque la calidad humana es espectacular. Un equipo cercano y preocupado que cada detalle de mi campaña, son un partner comprometido que me ayuda en cada detalle y es 100% transparente, en un mercado donde hace mucha falta"".","""Mi experiencia trabajando con el equipo OOH siempre ha sido excelente, no solo porque la calidad de su trabajo es impecable, sino también porque la calidad humana es espectacular. Un equipo cercano y preocupado que cada detalle de mi campaña, son un partner comprometido que me ayuda en cada detalle y es 100% transparente, en un mercado donde hace mucha falta""., Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/tiltil
Mide audiencia en +5.500 soportes,"Mide audiencia en +5.500 soportes, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/quilpue
Aeropuerto,"Aeropuerto, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/quilpue
Camión LED / Impreso,"Camión LED / Impreso, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/quilpue
Bicicleta / Scooter,"Bicicleta / Scooter, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/quilpue
Marga Marga 1645 antes del Unimarc al frente bomba shell,"Marga Marga 1645 antes del Unimarc al frente bomba shell, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/quilpue
Camino troncal Quilpué- visual hacia Quilpué (A),"Camino troncal Quilpué- visual hacia Quilpué (A), Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/quilpue
"""Mi experiencia trabajando con el equipo OOH siempre ha sido excelente, no solo porque la calidad de su trabajo es impecable, sino también porque la calidad humana es espectacular. Un equipo cercano y preocupado que cada detalle de mi campaña, son un partner comprometido que me ayuda en cada detalle y es 100% transparente, en un mercado donde hace mucha falta"".","""Mi experiencia trabajando con el equipo OOH siempre ha sido excelente, no solo porque la calidad de su trabajo es impecable, sino también porque la calidad humana es espectacular. Un equipo cercano y preocupado que cada detalle de mi campaña, son un partner comprometido que me ayuda en cada detalle y es 100% transparente, en un mercado donde hace mucha falta""., Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/quilpue
Mide audiencia en +5.500 soportes,"Mide audiencia en +5.500 soportes, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/sierra-gorda
Aeropuerto,"Aeropuerto, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/sierra-gorda
Camión LED / Impreso,"Camión LED / Impreso, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/sierra-gorda
Bicicleta / Scooter,"Bicicleta / Scooter, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/sierra-gorda
"Ruta B-25 - Km 45,300, Sierra gorda","Ruta B-25 - Km 45,300, Sierra gorda, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/sierra-gorda
"""Mi experiencia trabajando con el equipo OOH siempre ha sido excelente, no solo porque la calidad de su trabajo es impecable, sino también porque la calidad humana es espectacular. Un equipo cercano y preocupado que cada detalle de mi campaña, son un partner comprometido que me ayuda en cada detalle y es 100% transparente, en un mercado donde hace mucha falta"".","""Mi experiencia trabajando con el equipo OOH siempre ha sido excelente, no solo porque la calidad de su trabajo es impecable, sino también porque la calidad humana es espectacular. Un equipo cercano y preocupado que cada detalle de mi campaña, son un partner comprometido que me ayuda en cada detalle y es 100% transparente, en un mercado donde hace mucha falta""., Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/sierra-gorda
Mide audiencia en +5.500 soportes,"Mide audiencia en +5.500 soportes, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/cañete
Aeropuerto,"Aeropuerto, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/cañete
Camión LED / Impreso,"Camión LED / Impreso, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/cañete
Bicicleta / Scooter,"Bicicleta / Scooter, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/cañete
"Frase de 30"" en horario repartido (L a D) / Millaray FM 98.5 Mhz - Cañete","Frase de 30"" en horario repartido (L a D) / Millaray FM 98.5 Mhz - Cañete, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/cañete
"Frase de 30"" en horario repartido (L a D) / Revelacion FM 101.5 Mhz - Cañete","Frase de 30"" en horario repartido (L a D) / Revelacion FM 101.5 Mhz - Cañete, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/cañete
"""Mi experiencia trabajando con el equipo OOH siempre ha sido excelente, no solo porque la calidad de su trabajo es impecable, sino también porque la calidad humana es espectacular. Un equipo cercano y preocupado que cada detalle de mi campaña, son un partner comprometido que me ayuda en cada detalle y es 100% transparente, en un mercado donde hace mucha falta"".","""Mi experiencia trabajando con el equipo OOH siempre ha sido excelente, no solo porque la calidad de su trabajo es impecable, sino también porque la calidad humana es espectacular. Un equipo cercano y preocupado que cada detalle de mi campaña, son un partner comprometido que me ayuda en cada detalle y es 100% transparente, en un mercado donde hace mucha falta""., Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/cañete
Mide audiencia en +5.500 soportes,"Mide audiencia en +5.500 soportes, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/puerto-montt
Aeropuerto,"Aeropuerto, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/puerto-montt
Camión LED / Impreso,"Camión LED / Impreso, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/puerto-montt
Bicicleta / Scooter,"Bicicleta / Scooter, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/puerto-montt
Videowall / Sala de Embarque frente al Puente N° 2,"Videowall / Sala de Embarque frente al Puente N° 2, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/puerto-montt
Antonio Varas / Paseo Talca - Puerto Montt,"Antonio Varas / Paseo Talca - Puerto Montt, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/puerto-montt
Camino Alerce / Entrada Oriente a Puerto Montt,"Camino Alerce / Entrada Oriente a Puerto Montt, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/puerto-montt
"Mall Paseo Costanera, frente Plaza de Armas - Puerto Montt","Mall Paseo Costanera, frente Plaza de Armas - Puerto Montt, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/puerto-montt
Peaje Entrada / Ruta 5 - Puerto Montt,"Peaje Entrada / Ruta 5 - Puerto Montt, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/puerto-montt
Puerto Montt / Quillota 113,"Puerto Montt / Quillota 113, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/puerto-montt
"""Mi experiencia trabajando con el equipo OOH siempre ha sido excelente, no solo porque la calidad de su trabajo es impecable, sino también porque la calidad humana es espectacular. Un equipo cercano y preocupado que cada detalle de mi campaña, son un partner comprometido que me ayuda en cada detalle y es 100% transparente, en un mercado donde hace mucha falta"".","""Mi experiencia trabajando con el equipo OOH siempre ha sido excelente, no solo porque la calidad de su trabajo es impecable, sino también porque la calidad humana es espectacular. Un equipo cercano y preocupado que cada detalle de mi campaña, son un partner comprometido que me ayuda en cada detalle y es 100% transparente, en un mercado donde hace mucha falta""., Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/puerto-montt
Mide audiencia en +5.500 soportes,"Mide audiencia en +5.500 soportes, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/chillán-viejo
Aeropuerto,"Aeropuerto, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/chillán-viejo
Camión LED / Impreso,"Camión LED / Impreso, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/chillán-viejo
Bicicleta / Scooter,"Bicicleta / Scooter, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/chillán-viejo
Ruta 5 Sur km 407.84 - Sector By-Pass Chillan,"Ruta 5 Sur km 407.84 - Sector By-Pass Chillan, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/chillán-viejo
"""Mi experiencia trabajando con el equipo OOH siempre ha sido excelente, no solo porque la calidad de su trabajo es impecable, sino también porque la calidad humana es espectacular. Un equipo cercano y preocupado que cada detalle de mi campaña, son un partner comprometido que me ayuda en cada detalle y es 100% transparente, en un mercado donde hace mucha falta"".","""Mi experiencia trabajando con el equipo OOH siempre ha sido excelente, no solo porque la calidad de su trabajo es impecable, sino también porque la calidad humana es espectacular. Un equipo cercano y preocupado que cada detalle de mi campaña, son un partner comprometido que me ayuda en cada detalle y es 100% transparente, en un mercado donde hace mucha falta""., Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/chillán-viejo
Mide audiencia en +5.500 soportes,"Mide audiencia en +5.500 soportes, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/valparaiso
Aeropuerto,"Aeropuerto, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/valparaiso
Camión LED / Impreso,"Camión LED / Impreso, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/valparaiso
Bicicleta / Scooter,"Bicicleta / Scooter, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/valparaiso
Av.España / Caleta Portales - Valparaiso,"Av.España / Caleta Portales - Valparaiso, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/valparaiso
Panel Anden cara (A) - Estacion Bellavista,"Panel Anden cara (A) - Estacion Bellavista, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/valparaiso
"Pedro Montt & Edwards, Plaza Victoria - Valparaiso","Pedro Montt & Edwards, Plaza Victoria - Valparaiso, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/valparaiso
Av. Argentina / Brasil,"Av. Argentina / Brasil, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/valparaiso
Ruta 68 - Frente Servicentro Copec,"Ruta 68 - Frente Servicentro Copec, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/valparaiso
"""Mi experiencia trabajando con el equipo OOH siempre ha sido excelente, no solo porque la calidad de su trabajo es impecable, sino también porque la calidad humana es espectacular. Un equipo cercano y preocupado que cada detalle de mi campaña, son un partner comprometido que me ayuda en cada detalle y es 100% transparente, en un mercado donde hace mucha falta"".","""Mi experiencia trabajando con el equipo OOH siempre ha sido excelente, no solo porque la calidad de su trabajo es impecable, sino también porque la calidad humana es espectacular. Un equipo cercano y preocupado que cada detalle de mi campaña, son un partner comprometido que me ayuda en cada detalle y es 100% transparente, en un mercado donde hace mucha falta""., Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/valparaiso
Mide audiencia en +5.500 soportes,"Mide audiencia en +5.500 soportes, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/region/bio-bio
Aeropuerto,"Aeropuerto, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/region/bio-bio
Camión LED / Impreso,"Camión LED / Impreso, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/region/bio-bio
Bicicleta / Scooter,"Bicicleta / Scooter, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/region/bio-bio
"Diagonal Pedro Aguirre Cerda/Orompello, Concepción","Diagonal Pedro Aguirre Cerda/Orompello, Concepción, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/region/bio-bio
"Frase de 30"" en horario repartido (L a D) / Ocarina FM 104.3 Mhz - San Carlos","Frase de 30"" en horario repartido (L a D) / Ocarina FM 104.3 Mhz - San Carlos, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/region/bio-bio
"Barros Arana/ Angol, Concepción","Barros Arana/ Angol, Concepción, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/region/bio-bio
Brandeo Tren exterior / Biotren,"Brandeo Tren exterior / Biotren, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/region/bio-bio
Paicavi N°755,"Paicavi N°755, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/region/bio-bio
Vilumilla 786 Entrada Concepcion por Los Carrera hacia Estadio,"Vilumilla 786 Entrada Concepcion por Los Carrera hacia Estadio, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/region/bio-bio
Av. Paicaví Esq. Los Carrera,"Av. Paicaví Esq. Los Carrera, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/region/bio-bio
"""Mi experiencia trabajando con el equipo OOH siempre ha sido excelente, no solo porque la calidad de su trabajo es impecable, sino también porque la calidad humana es espectacular. Un equipo cercano y preocupado que cada detalle de mi campaña, son un partner comprometido que me ayuda en cada detalle y es 100% transparente, en un mercado donde hace mucha falta"".","""Mi experiencia trabajando con el equipo OOH siempre ha sido excelente, no solo porque la calidad de su trabajo es impecable, sino también porque la calidad humana es espectacular. Un equipo cercano y preocupado que cada detalle de mi campaña, son un partner comprometido que me ayuda en cada detalle y es 100% transparente, en un mercado donde hace mucha falta""., Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/region/bio-bio
Mide audiencia en +5.500 soportes,"Mide audiencia en +5.500 soportes, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/la-dehesa
Aeropuerto,"Aeropuerto, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/la-dehesa
Camión LED / Impreso,"Camión LED / Impreso, Santiago, Chile",,,https://oohpublicidad.cl/publicidad-via-publica/ubicaciones/la-dehesa
