id;name;lat;lng;slug;sku;url;icon;
92bda504-fb75-41be-94ff-148147bfab79;Tomás Moro 1349 - Alonso de Camargo;-33.422.187;-70.553.496;tomas-moro-1349-alonso-de-camargo;;https://maps.oohpublicidad.cl/espacios-publicitarios/tomas-moro-1349-alonso-de-camargo/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
c1ca72b3-c00d-48d5-822c-91e510858fe1;Nueva Tajamar 298 - Vitacura;-33.417.083;-70.604.783;nueva-tajamar-298-vitacura;;https://maps.oohpublicidad.cl/espacios-publicitarios/nueva-tajamar-298-vitacura/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
39e931c7-be6d-424f-a025-f76b501cc2b8;Vital Apoquindo 1107 - La Quebrada;-33.416.194;-70.529.509;vital-apoquindo-1107-la-quebrada;;https://maps.oohpublicidad.cl/espacios-publicitarios/vital-apoquindo-1107-la-quebrada/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
8190e1eb-0f67-4157-9c96-a275ee8c3680;Alejandro Fleming 9840;-33.424.159;-70.525.596;alejandro-fleming-9840-kiosko;;https://maps.oohpublicidad.cl/espacios-publicitarios/alejandro-fleming-9840-kiosko/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
186adb7a-a80b-4d34-a6a0-4a33749c6a87;Superior Ventana As-02 (Alstom) - L4 Plaza Puente Alto - Tobalaba / 46 Caras;-334.182.887;-706.014.936.999.999;superior-ventana-as-02-alstom-l4-plaza-puente-alto-tobalaba-46-caras-186adb7a-a80b-4d34-a6a0-4a33749c6a87;;https://maps.oohpublicidad.cl/espacios-publicitarios/superior-ventana-as-02-alstom-l4-plaza-puente-alto-tobalaba-46-caras-186adb7a-a80b-4d34-a6a0-4a33749c6a87/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-subway.png;
e530aff7-3699-4a90-b071-f43591990c69;Apoquindo 5400 - Flor de Azucena;-33.410.277;-70.564.864;apoquindo-5400-flor-de-azucena;;https://maps.oohpublicidad.cl/espacios-publicitarios/apoquindo-5400-flor-de-azucena/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
d8c58e58-ff90-4e4c-a5cc-46a66c620ab4;Vital Apoquindo 1968 - Nueva Bilbao;-33.427.055;-70.529.745;vital-apoquindo-1968-nueva-bilbao;;https://maps.oohpublicidad.cl/espacios-publicitarios/vital-apoquindo-1968-nueva-bilbao/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
3c0d1958-a9a4-48cc-ab1d-275c71b5b57e;Las Condes 6761;-33.406.812;-70.560.009;las-condes-6761-kiosko;;https://maps.oohpublicidad.cl/espacios-publicitarios/las-condes-6761-kiosko/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
5459a751-332a-4899-9744-158205128656;Alonso de Córdova 5320 - Gredos;-33.406.621;-70.574.518;alonso-de-cordova-5320-gredos;;https://maps.oohpublicidad.cl/espacios-publicitarios/alonso-de-cordova-5320-gredos/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
ba80eced-a2d3-4f59-be8b-ad28ad620549;Cristobal Colón - Padre Hurtado;-33.416.378;-70.539.215;cristobal-colon-padre-hurtado;;https://maps.oohpublicidad.cl/espacios-publicitarios/cristobal-colon-padre-hurtado/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
ab5e3101-6769-4574-954d-e1a1b7984f36;Vespucio - Grecia - Parada 4 / (M) Grecia;-33.469.071.224.299.900;-7.057.636.270.399.600;vespucio-grecia-parada-4-m-grecia;;https://maps.oohpublicidad.cl/espacios-publicitarios/vespucio-grecia-parada-4-m-grecia/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
b6dc7462-1f4c-46b3-a0ac-e56ce507f795;Puertas Unidireccionales - L5 Estacion Bellas Artes;-3.343.623;-7.064.423;e-puertas-unidireccionales-l5-estacion-bellas-artes;;https://maps.oohpublicidad.cl/espacios-publicitarios/e-puertas-unidireccionales-l5-estacion-bellas-artes/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-subway.png;
b2e18306-c0ee-45bb-9906-cab6598ea1ee;Alejandro Fleming 9670 - Bilbao;-33.424.008;-70.527.722;alejandro-fleming-9670-bilbao;;https://maps.oohpublicidad.cl/espacios-publicitarios/alejandro-fleming-9670-bilbao/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
c03b11d1-0120-448b-bce9-94375e01591b;Apoquindo 5710 - Rosario Norte frente Banco BCI;-33.409.506;-70.570.397;apoquindo-5710-rosario-norte-frente-banco-bci;;https://maps.oohpublicidad.cl/espacios-publicitarios/apoquindo-5710-rosario-norte-frente-banco-bci/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
90c3ee31-ceba-4344-8cd1-a687c172f56d;Apoquindo 3600 - Magdalena;-3.341.613;-70.592.774;apoquindo-3600-magdalena;;https://maps.oohpublicidad.cl/espacios-publicitarios/apoquindo-3600-magdalena/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
07ae7622-ece4-49ea-a0e9-d33c02e40c03;Cerro Colorado 5295 - Mardoñal;-33.402.457;-70.575.719;cerro-colorado-5295-mardonal;;https://maps.oohpublicidad.cl/espacios-publicitarios/cerro-colorado-5295-mardonal/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
72b2a492-546e-42f1-977c-94bb3d5aadc8;Apoquindo -  Asturias;-33.414.705;-70.586.164;apoquindo-asturias;;https://maps.oohpublicidad.cl/espacios-publicitarios/apoquindo-asturias/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
e24c5e0a-7df5-40f0-8458-68a5505496fe;Padre Hurtado 785  - Río Guadania;-33.412.826;-70.540.278;padre-hurtado-785-los-pozos;;https://maps.oohpublicidad.cl/espacios-publicitarios/padre-hurtado-785-los-pozos/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
6239176a-4e7f-4eed-ac69-773134b6c166;Los Militares  - Américo Vespucio;-33.413.492;-70.584.457;los-militares-americo-vespucio;;https://maps.oohpublicidad.cl/espacios-publicitarios/los-militares-americo-vespucio/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
cd4dced3-a4ce-4c85-b1d4-b4ec7a9ed581;1 Paleta Digital - L4 Estacion Tobalaba;-3.341.806;-7.060.149;paleta-digital-l4-estacion-tobalaba-1;;https://maps.oohpublicidad.cl/espacios-publicitarios/paleta-digital-l4-estacion-tobalaba-1/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-subway.png;
8c48cc85-e553-4594-aba4-9f1d4fa94c68;Paul Harris 1100 - La Quebrada;-33.416.862;-70.533.777;paul-harris-1100-la-quebrada;;https://maps.oohpublicidad.cl/espacios-publicitarios/paul-harris-1100-la-quebrada/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
b6948756-31fa-41de-b36d-ed87454a472b;Apoquindo 3960  - Las Torcazas;-33.415.428;-70.588.983;apoquindo-3960-las-torcazas;;https://maps.oohpublicidad.cl/espacios-publicitarios/apoquindo-3960-las-torcazas/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
d1ed20e5-4438-4922-ab47-051a07143935;Alcántara 531 / Presidente Errázuriz;-334.207.827;-7.058.845.000.000.000;alcantara-531-presidente-errazuriz;;https://maps.oohpublicidad.cl/espacios-publicitarios/alcantara-531-presidente-errazuriz/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
2d03cb91-1999-4399-a50a-3103b6803691;STRIP CENTER EL ROSAL VESPUCIO/STA ELENA MAIPU  Frente a Arauco Maipu;-33.478.673;-707.561.821;strip-center-el-rosal-vespucio-sta-elena-maipu-frente-a-arauco-maipu-unipole;;https://maps.oohpublicidad.cl/espacios-publicitarios/strip-center-el-rosal-vespucio-sta-elena-maipu-frente-a-arauco-maipu-unipole/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-billboard.png;
43872de3-6b30-48de-84f3-7fad969e1e5c;Av. Alejandro Flemming 1688 / Av. Padre Hurtado;-334.241.056;-705.413.469;av-alejandro-flemming-1688-av-padre-hurtado;;https://maps.oohpublicidad.cl/espacios-publicitarios/av-alejandro-flemming-1688-av-padre-hurtado/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
fc675dd5-08d5-4c46-84ba-1a314b43c52d;Av. Américo Vespucio Norte / Av. Apoquindo;-33.410.668;-70.574.258;av-americo-vespucio-nte-s-n-av-apoquindo;;https://maps.oohpublicidad.cl/espacios-publicitarios/av-americo-vespucio-nte-s-n-av-apoquindo/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
65bc5698-2d9a-45a8-b444-caac2541414a;Apoquindo - Vespucio - Parada 4 / (M) Escuela Militar;-334.133.048.843.385;-705.822.865.481.769;apoquindo-vespucio-parada-4-m-escuela-militar;;https://maps.oohpublicidad.cl/espacios-publicitarios/apoquindo-vespucio-parada-4-m-escuela-militar/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
e2a0b3dd-a1dd-46b4-9165-e8c8fe10b7dd;Mega Pendón Interior A ( Doble cara ) - Plaza Central 5 Niveles - Mall Costanera Center;-334.179.935;-706.063.901;mega-pendon-interior-a-doble-cara-plaza-central-5-niveles-mall-costanera-center;;https://maps.oohpublicidad.cl/espacios-publicitarios/mega-pendon-interior-a-doble-cara-plaza-central-5-niveles-mall-costanera-center/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-mall.png;
